emp_id,e_name,gender,phone,DOB,DOJ,PAN_no,aadhar_no,bank,,end_date
1,Albert Einstein,M,9985349267,29-01-1969,13-01-1993,AJPPY8956P,8.96E+11,Bank of Baroda,,
2,Benny Dayal,M,8974563897,19-01-1967,21-09-1989,POUSI5689P,5.69E+11,Canara Bank,,
3,Christopher Thomas,M,7265894623,08-02-1953,28-10-1993,HJYUI5689L,7.86E+11,Punjab National Bank,,
4,Nick Jonas,M,9567812359,13-01-1970,17-02-1996,FGUIN4589O,5.69E+11,Union Bank,,03-03-2000
5,Emilia Clarke,F,7845235971,03-03-1977,24-03-1998,HGYIN1256O,5.69E+11,State Bank Of India,,
6,Lisa Haydon,F,9952632158,08-02-1963,01-01-1999,BNHJY9865P,4.59E+11,Central Bank of India,,
7,Durjoy Datta,M,8456378912,21-05-1957,17-09-1987,GHYUJ8956G,5.69E+11,Indian Overseas Bank,,
8,Nikitha Singh,F,8032792365,14-03-1946,24-03-1998,HJUIK89453,5.69E+11,Bank Of Maharashtra,,
9,Edwar Jenner,M,7069065831,16-07-1979,01-01-1999,FDJDD8945D,5.68E+11,Axis Bank,,15-07-2009
10,Vijay Prakash,M,9035069740,16-06-1975,01-07-1994,FRGSD5653W,4.59E+11,Federal Bank,,
11,Snares Thom,M,8534975230,16-10-1958,17-06-1987,WFSGE6569E,5.69E+11,HDFC Bank,,
12,Kiran Desai,F,8945620359,14-11-1957,01-01-1992,EFSFD6965D,4.60E+11,ICICI Bank,,
13,Maria Foster,F,7856123598,25-07-1973,21-05-1996,DFRSF5612S,5.69E+11,Induslnd Bank,,
14,Usain Bolt,M,9564230789,11-08-1973,03-03-1998,SFSER5365F,2.36E+11,HDFC Bank,,01-04-2012
15,Diana Lorentz,F,7856230159,13-08-1958,10-06-1998,FFDDF5656F,5.66E+11,Kotak Mahindra Bank,,
16,Smith John,M,9565235689,03-03-1998,20-09-2019,AZPPY0123P,7.89E+11,HDFC Bank,,
17,Jennifer Lopez,F,8237319499,16-10-1997,20-06-2019,DPSSF8956F,7.86E+11,Kotak Mahindra Bank,,
18,Prajakta Kohli,M,8956784523,10-01-1990,05-05-2012,HDJU5689D,4.58E+11,ICICI Bank,,
19,Carry Minati,M,5689652356,15-12-1998,02-02-2015,GHJHJ5689G,4.57E+11,Axis Bank,,04-12-2002
20,Avneet Kaur,F,7065895623,18-06-2000,02-01-2020,DFHFF2356F,4.56E+11,Bank Of Maharashtra,,
